utterance_type,speaker,object_present,basic_level,subj,month,in_cdi
r,MOT,n,berry+banana+beet,168,10,NA
d,MOT,n,dracula,518,10,NA
q,MOT,n,cruella+de+vil,518,10,NA
q,MOT,n,poops,893,10,NA
d,MOT,y,roar+roar+baby,424,10,NA
d,MOT,y,splish+splash+baby,424,10,NA
i,MOT,n,trex,288,10,NA
q,MOT,y,see+saw,794,11,NA
i,MOT,n,air+conditioner,794,11,NA
s,MOT,n,town,794,11,NA
d,MOT,y,pedal,126,11,NA
q,MOT,y,roll,309,11,NA
d,FAT,n,hash+brown,309,11,NA
d,MOT,n,windbreaker,749,11,NA
q,SIBLING,n,p+b+and+j,279,11,NA
d,MOT,y,go+train+go,664,11,NA
q,MOT,n,gerbil,664,11,NA
d,FAT,y,grandma,129,11,NA
r,FAT,n,land,129,11,NA
d,MOT,n,daddy+long+leg,860,11,NA
d,MOT,n,eggplant+parmesan,189,11,NA
d,MOT,n,copier,926,11,NA
q,MOT,n,fish+bowl,944,11,NA
q,MOT,n,costume,738,11,NA
q,MOT,y,sneakers,738,11,NA
d,MOT,n,leaves,738,11,NA
q,MOT,y,jack+o+lanterns,738,11,NA
q,MOT,y,t+shirt,738,11,NA
d,MOT,n,leather,738,11,NA
r,MOT,y,store,738,11,NA
d,MOT,n,stuffed+peppers,737,11,NA
r,MOT,n,cutter,737,11,NA
r,MOT,n,mixer,737,11,NA
d,MOT,n,clip+board,518,11,NA
q,SIBLING,n,zingo,518,11,NA
d,MOT,n,game+board,518,11,NA
d,MOT,n,edward,950,11,NA
n,MOT,y,gadget,563,11,NA
d,MOT,y,chew+toy,288,11,NA
d,SIBLING,n,b+b+eight,288,11,NA
d,MOT,n,knight,288,11,NA
d,MOT,y,qui+gon+jinn,288,11,NA
r,MOT,y,mustache+baby,357,12,NA
r,MOT,y,baby+billy,357,12,NA
d,MOT,n,lawnmower,626,12,NA
d,MOT,y,night+night+elmo,109,12,NA
q,MOT,n,gas+can,342,12,NA
q,MOT,y,headwear,342,12,NA
d,MOT,n,flower+bulbs,342,12,NA
d,MOT,y,rain+rain+go+away,268,12,NA
q,MOT,y,d+v+d,189,12,NA
q,SIBLING,n,cheez+its,986,12,NA
d,MOT,y,not+my+monkey,625,12,NA
q,MOT,y,are+you+a+cow,738,12,NA
n,FAT,y,sophies+busy+day,639,12,NA
q,FAT,n,quack+quack,639,12,NA
n,FAT,y,paris,639,12,NA
r,MOT,n,caramel,288,12,NA
r,MOT,n,coconut,288,12,NA
r,MOT,n,crabmeat,288,12,NA
q,FAT,y,the+fire+engine,294,13,NA
q,FAT,y,the+first+one+hundred+words,294,13,NA
n,MOT,y,pinkie,255,13,NA
n,FAT,n,hi+hat,357,13,NA
d,MOT,y,cinnamon+sweet+potato,357,13,NA
n,MOT,y,zoes+first+book+of+seasons,279,13,NA
d,MOT,n,cheese+balls,664,13,NA
d,MOT,y,base,129,13,NA
q,MOT,n,craisin,860,13,NA
n,MOT,n,lobster,860,13,NA
d,MOT,n,eyeshadow,860,13,NA
q,MOT,y,lunch+box,378,13,NA
d,MOT,n,penne,189,13,NA
n,MOT,y,vise,986,13,NA
i,MOT,y,fanny,986,13,NA
d,MOT,n,rapini,861,13,NA
d,MOT,n,seltzer,861,13,NA
q,MOT,n,monterey+jack,861,13,NA
n,MOT,n,swiss,861,13,NA
n,MOT,y,three+blind+mice+and+the+christmas+surprise,926,13,NA
q,MOT,n,pepper+mill,926,13,NA
d,MOT,n,pediasure,944,13,NA
n,FAT,y,millennium+pigeon,515,13,NA
d,SIBLING,n,slime,515,13,NA
d,FAT,n,theater,375,13,NA
d,FAT,n,trap,375,13,NA
d,MOT,n,little+blue+train,738,13,NA
q,MOT,y,carrier,737,13,NA
d,MOT,n,ten+little+gingerbread+men,518,13,NA
r,MOT,y,styracosaurus,151,13,NA
r,MOT,y,tyrannosaurus,151,13,NA
r,MOT,n,brachiosaurus,151,13,NA
d,MOT,n,headrest,151,13,NA
r,MOT,n,daddy,893,13,NA
d,MOT,y,baby+peekaboo,424,13,NA
q,MOT,n,oscar+oscar,424,13,NA
d,MOT,n,toilet+paper+roll,126,14,NA
d,SIBLING,y,squeezable,255,14,NA
d,SIBLING,n,undershirt,255,14,NA
q,MOT,n,lace,255,14,NA
n,MOT,n,seaside,465,14,NA
d,FAT,n,vacuum+cleaner,309,14,NA
d,MOT,n,highchar,309,14,NA
q,FAT,y,brace,129,14,NA
d,MOT,n,reciner,378,14,NA
d,MOT,n,collards,378,14,NA
d,MOT,n,food+processor,378,14,NA
d,MOT,n,olive+oil,378,14,NA
d,MOT,n,starbucks,378,14,NA
d,MOT,n,compost,378,14,NA
d,MOT,n,rhubarb,378,14,NA
q,MOT,n,poop,378,14,NA
d,MOT,n,salt+shaker,342,14,NA
d,MOT,y,dancing+douglas,189,14,NA
r,MOT,y,sleepy,986,14,NA
r,MOT,y,happy,986,14,NA
r,MOT,n,gothel,986,14,NA
n,MOT,y,peekaboo+farm,625,14,NA
q,MOT,n,walkway,375,14,NA
d,MOT,n,stoop,375,14,NA
d,FAT,n,salads,375,14,NA
d,MOT,n,hockey+player,375,14,NA
n,FAT,n,goalie,375,14,NA
q,MOT,y,person,375,14,NA
q,MOT,n,sitar,375,14,NA
d,MOT,n,restaurant,375,14,NA
d,SIBLING,n,legs,375,14,NA
q,MOT,n,peek+a+boo+jungle,738,14,NA
q,SIBLING,n,movie+theater,518,14,NA
q,MOT,n,super+baby,893,14,NA
r,MOT,n,grains,351,14,NA
d,MOT,y,im+a+baby,950,14,NA
d,MOT,n,lips,563,14,NA
d,MOT,n,lemon+drop,563,14,NA
d,MOT,n,listerine,563,14,NA
n,MOT,n,cheerleader,563,14,NA
n,MOT,y,sophie+peekaboo,794,15,NA
q,MOT,n,mr+bump,828,15,NA
d,MOT,n,paprika,309,15,NA
d,FAT,n,kimchi,309,15,NA
d,FAT,n,chicken+broth,309,15,NA
d,FAT,n,herbs,309,15,NA
n,MOT,y,baby+play+time,309,15,NA
d,FAT,n,anchorman,309,15,NA
q,MOT,n,peek+a+boo+dinosaur,309,15,NA
d,MOT,y,raccoon+who+liked+to+munch,749,15,NA
d,SIBLING,n,chopsticks,623,15,NA
n,MOT,n,cannula,626,15,NA
d,MOT,n,cannister,626,15,NA
d,MOT,n,hashbrowns,626,15,NA
d,MOT,n,buttermilk,626,15,NA
d,MOT,n,baking+powder,626,15,NA
d,MOT,n,baking+soda,626,15,NA
d,MOT,n,cinnamon,626,15,NA
d,MOT,y,peek+a+boo+who,378,15,NA
r,MOT,y,chicks,189,15,NA
d,MOT,y,eight+silly+monkeys,986,15,NA
r,MOT,y,big,861,15,NA
r,MOT,y,the+very+best+daddy,738,15,NA
q,MOT,y,yummy+yucky,738,15,NA
q,MOT,y,vroom+vroom,738,15,NA
d,MOT,y,one+naked+baby,639,15,NA
d,MOT,y,babys+busy+day,288,15,NA
r,MOT,y,brother,288,15,NA
r,MOT,y,sister,288,15,NA
n,MOT,n,paw+patrol,288,15,NA
q,FAT,y,baby+beluga,521,16,NA
n,FAT,y,t+b+m+nine+hundred,309,16,NA
q,MOT,y,baby+donald,986,16,NA
n,MOT,n,pizzas,375,16,NA
d,MOT,n,tostitos,375,16,NA
d,MOT,y,gravel,639,16,NA
d,MOT,n,candy+land,151,16,NA
r,MOT,y,granny,424,16,NA
d,MOT,y,babys+first+words,950,16,NA
r,MOT,n,equipment,288,16,NA
q,FAT,y,soft+serve,220,16,NA
q,MOT,n,bike+pump,220,16,NA
d,MOT,y,sophie+pop+up+peek+a+boo,794,17,NA
d,MOT,n,elmo+so+big,465,17,NA
n,FAT,y,cat+in+the+hat,274,17,NA
d,FAT,y,wegmans+pez+dispenser,309,17,NA
d,SIBLING,n,sharpener,623,17,NA
d,MOT,y,daniel+tiger+trolley,664,17,NA
d,MOT,n,mickey+the+fireman,664,17,NA
d,MOT,n,phonograph,664,17,NA
d,MOT,y,woof+woof,664,17,NA
d,MOT,y,luna+doll,129,17,NA
d,MOT,y,slot,129,17,NA
d,MOT,n,body,129,17,NA
n,SIBLING,n,hulk,129,17,NA
q,MOT,y,baby+bug,378,17,NA
n,MOT,y,kim+and+carrots,378,17,NA
r,MOT,y,ranger+dockett,378,17,NA
q,MOT,y,baby+listens,378,17,NA
q,MOT,n,ding+dong,378,17,NA
d,FAT,n,permission+slip,172,17,NA
d,MOT,n,barnyard+fun+book,625,17,NA
n,MOT,y,my+new+baby,926,17,NA
r,MOT,y,do+cows+meow,944,17,NA
d,FAT,n,cheeseburger,375,17,NA
q,MOT,y,peekaboo+fun,738,17,NA
d,MOT,n,bones,639,17,NA
d,MOT,y,beer,168,17,NA
n,MOT,n,smore,168,17,NA
q,MOT,y,goo+gone,168,17,NA
d,MOT,n,yard,518,17,NA
q,MOT,y,splish+splash+book,424,17,NA
n,MOT,n,rafael,563,17,NA
d,SIBLING,n,pokemon,563,17,NA
