Month,CDI_TotalProd,subj
11,4,860
12,5,860
13,5,860
14,9,860
15,18,860
16,32,860
17,46,860
18,102,860
06,0,378
07,0,378
08,0,378
09,0,378
10,0,378
11,0,378
12,7,378
13,25,378
14,41,378
15,66,378
16,132,378
17,133,378
18,166,378
06,0,109
07,0,109
08,0,109
09,0,109
10,0,109
11,2,109
12,6,109
13,7,109
14,9,109
15,10,109
16,40,109
17,54,109
18,82,109
06,0,342
07,0,342
08,0,342
09,1,342
10,9,342
11,15,342
12,20,342
13,21,342
14,22,342
15,29,342
16,15,342
17,22,342
18,NA,342
06,0,268
07,0,268
08,0,268
09,0,268
10,0,268
11,3,268
12,3,268
13,5,268
14,8,268
15,20,268
16,37,268
17,49,268
18,75,268
06,0,172
07,0,172
08,0,172
09,0,172
10,0,172
11,0,172
12,0,172
13,2,172
14,3,172
15,3,172
16,NA,172
17,NA,172
18,2,172
06,0,189
07,0,189
08,0,189
09,0,189
10,2,189
11,6,189
12,14,189
13,21,189
14,25,189
15,16,189
16,28,189
17,46,189
18,73,189
06,0,986
07,0,986
08,0,986
09,0,986
10,0,986
11,0,986
12,7,986
13,10,986
14,11,986
15,20,986
16,25,986
17,27,986
18,NA,986
06,0,861
07,0,861
08,0,861
09,0,861
10,1,861
11,1,861
12,1,861
13,2,861
14,3,861
15,2,861
16,2,861
17,4,861
18,24,861
06,0,625
07,NA,625
08,0,625
09,0,625
10,0,625
11,3,625
12,4,625
13,16,625
14,38,625
15,34,625
16,NA,625
17,NA,625
18,NA,625
06,0,926
07,1,926
08,1,926
09,1,926
10,1,926
11,1,926
12,4,926
13,7,926
14,16,926
15,14,926
16,21,926
17,47,926
18,69,926
06,0,944
07,0,944
08,0,944
09,NA,944
10,1,944
11,1,944
12,4,944
13,NA,944
14,3,944
15,3,944
16,4,944
17,6,944
18,NA,944
06,0,515
07,0,515
08,0,515
09,0,515
10,0,515
11,0,515
12,0,515
13,1,515
14,3,515
15,12,515
16,15,515
17,19,515
18,51,515
06,0,375
07,0,375
08,0,375
09,0,375
10,0,375
11,2,375
12,2,375
13,2,375
14,2,375
15,6,375
16,9,375
17,10,375
18,20,375
06,0,738
07,0,738
08,0,738
09,2,738
10,2,738
11,2,738
12,2,738
13,2,738
14,0,738
15,0,738
16,9,738
17,15,738
18,22,738
06,0,575
07,0,575
08,0,575
09,2,575
10,2,575
11,2,575
12,2,575
13,2,575
14,0,575
15,0,575
16,0,575
17,0,575
18,0,575
06,0,639
07,0,639
08,0,639
09,0,639
10,0,639
11,1,639
12,2,639
13,2,639
14,2,639
15,4,639
16,4,639
17,4,639
18,5,639
06,0,168
07,0,168
08,0,168
09,0,168
10,0,168
11,0,168
12,0,168
13,0,168
14,0,168
15,1,168
16,1,168
17,1,168
18,5,168
06,0,737
07,0,737
08,0,737
09,0,737
10,0,737
11,0,737
12,0,737
13,0,737
14,1,737
15,1,737
16,5,737
17,16,737
18,22,737
06,0,518
07,0,518
08,0,518
09,0,518
10,0,518
11,6,518
12,NA,518
13,10,518
14,11,518
15,17,518
16,21,518
17,26,518
18,35,518
06,0,151
07,0,151
08,0,151
09,0,151
10,0,151
11,1,151
12,NA,151
13,NA,151
14,1,151
15,2,151
16,3,151
17,NA,151
18,NA,151
06,0,893
07,0,893
08,NA,893
09,0,893
10,0,893
11,0,893
12,0,893
13,0,893
14,1,893
15,NA,893
16,1,893
17,NA,893
18,NA,893
06,0,424
07,0,424
08,0,424
09,0,424
10,0,424
11,0,424
12,2,424
13,2,424
14,4,424
15,5,424
16,8,424
17,13,424
18,NA,424
06,0,351
07,0,351
08,0,351
09,0,351
10,0,351
11,0,351
12,3,351
13,1,351
14,3,351
15,7,351
16,14,351
17,22,351
18,NA,351
06,0,950
07,0,950
08,0,950
09,0,950
10,0,950
11,0,950
12,1,950
13,0,950
14,0,950
15,0,950
16,0,950
17,0,950
18,0,950
06,0,563
07,0,563
08,1,563
09,1,563
10,1,563
11,1,563
12,1,563
13,1,563
14,2,563
15,2,563
16,2,563
17,9,563
18,14,563
06,0,288
07,2,288
08,3,288
09,3,288
10,4,288
11,9,288
12,10,288
13,21,288
14,21,288
15,1,288
16,1,288
17,5,288
18,7,288
06,0,220
07,0,220
08,0,220
09,0,220
10,0,220
11,2,220
12,NA,220
13,1,220
14,1,220
15,4,220
16,4,220
17,10,220
18,19,220
